artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,aspect_ratio,status_original,original_price_eur,is_artist_photo,create_print_product,manual_review_required,product_mode,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,source_image_path,source_image_path_abs,source_image_exists,public_full_path,public_full_path_abs,public_texture_path,public_thumb_path,preferred_upload_path_abs,shopify_handle,shopify_collection_url,notes
canvas-large-bier-bass-belanglosikeit,Bier Bass Belanglosikeit,felix,generated_catalog,canvas_large,2022,,70,100,portrait,0.7000,available,700.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände Groß/BierBassBelanglosikeit70x100.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/BierBassBelanglosikeit70x100.jpg,yes,/artworks/canvas-large-bier-bass-belanglosikeit/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-bier-bass-belanglosikeit/full.webp,/artworks/canvas-large-bier-bass-belanglosikeit/texture.webp,/artworks/canvas-large-bier-bass-belanglosikeit/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/BierBassBelanglosikeit70x100.jpg,,,
canvas-large-chaos-im-komando-zentrum,Chaos im Komando zentrum,felix,generated_catalog,canvas_large,2023,,80,100,portrait,0.8000,available,1600.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände Groß/Chaos im Komando zentrum.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Chaos im Komando zentrum.jpg,yes,/artworks/canvas-large-chaos-im-komando-zentrum/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-chaos-im-komando-zentrum/full.webp,/artworks/canvas-large-chaos-im-komando-zentrum/texture.webp,/artworks/canvas-large-chaos-im-komando-zentrum/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Chaos im Komando zentrum.jpg,,https://flexartmarket.myshopify.com/collections/chaos-im-comando-center,
canvas-large-chaosin-comandozentrum,chaosin Comandozentrum,felix,generated_catalog,canvas_large,2023,,80,100,portrait,0.8000,available,1600.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände Groß/chaosinComandozentrum.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/chaosinComandozentrum.jpg,yes,/artworks/canvas-large-chaosin-comandozentrum/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-chaosin-comandozentrum/full.webp,/artworks/canvas-large-chaosin-comandozentrum/texture.webp,/artworks/canvas-large-chaosin-comandozentrum/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/chaosinComandozentrum.jpg,,https://flexartmarket.myshopify.com/collections/chaos-im-comando-center,
canvas-large-experiment-sterotyp,Experiment sterotyp,felix,generated_catalog,canvas_large,2023,,160,100,landscape,1.6000,available,1200.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/Experiment sterotyp.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Experiment sterotyp.jpg,yes,/artworks/canvas-large-experiment-sterotyp/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-experiment-sterotyp/full.webp,/artworks/canvas-large-experiment-sterotyp/texture.webp,/artworks/canvas-large-experiment-sterotyp/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Experiment sterotyp.jpg,,,
canvas-large-expetition-zur-entspannung,expetition zur Entspannung,felix,generated_catalog,canvas_large,2023,,160,100,landscape,1.6000,available,2400.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/expetition zur Entspannung.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/expetition zur Entspannung.jpg,yes,/artworks/canvas-large-expetition-zur-entspannung/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-expetition-zur-entspannung/full.webp,/artworks/canvas-large-expetition-zur-entspannung/texture.webp,/artworks/canvas-large-expetition-zur-entspannung/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/expetition zur Entspannung.jpg,,,
canvas-large-felix-iplfing-wegeundtueren,Felix Iplfing wegeundtüren,felix,generated_catalog,canvas_large,2022,,75,115,portrait,0.6522,not_available,,no,yes,no,prints_only_original_sold,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände Groß/Felix Iplfing wegeundtüren75x115.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Felix Iplfing wegeundtüren75x115.jpg,yes,/artworks/canvas-large-felix-iplfing-wegeundtueren/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-felix-iplfing-wegeundtueren/full.webp,/artworks/canvas-large-felix-iplfing-wegeundtueren/texture.webp,/artworks/canvas-large-felix-iplfing-wegeundtueren/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Felix Iplfing wegeundtüren75x115.jpg,,,
canvas-large-freunde,freunde,felix,generated_catalog,canvas_large,2024,,160,100,landscape,1.6000,available,1900.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/freunde.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/freunde.jpg,yes,/artworks/canvas-large-freunde/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-freunde/full.webp,/artworks/canvas-large-freunde/texture.webp,/artworks/canvas-large-freunde/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/freunde.jpg,,,
canvas-large-gangster,Gangster,felix,generated_catalog,canvas_large,2022,,100,70,landscape,1.4286,available,700.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/Gangster.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Gangster.jpg,yes,/artworks/canvas-large-gangster/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-gangster/full.webp,/artworks/canvas-large-gangster/texture.webp,/artworks/canvas-large-gangster/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Gangster.jpg,,,
canvas-large-m6-live-painting,M6 Live Painting,felix,generated_catalog,canvas_large,2023,,160,100,landscape,1.6000,not_available,,no,yes,no,prints_only_original_sold,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/M6 LivePainting .jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/M6 LivePainting .jpg,yes,/artworks/canvas-large-m6-live-painting/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-m6-live-painting/full.webp,/artworks/canvas-large-m6-live-painting/texture.webp,/artworks/canvas-large-m6-live-painting/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/M6 LivePainting .jpg,,,
canvas-large-u-bahn,u bahn,felix,generated_catalog,canvas_large,2022,,75,115,portrait,0.6522,available,1450.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände Groß/u-bahn.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/u-bahn.jpg,yes,/artworks/canvas-large-u-bahn/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-u-bahn/full.webp,/artworks/canvas-large-u-bahn/texture.webp,/artworks/canvas-large-u-bahn/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/u-bahn.jpg,,,
