artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,status_original,original_price_eur,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,preferred_upload_path_abs,public_full_path_abs,shopify_handle,shopify_collection_url,notes
canvas-large-bier-bass-belanglosikeit,Bier Bass Belanglosikeit,felix,generated_catalog,canvas_large,2022,,70,100,portrait,available,700.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/BierBassBelanglosikeit70x100.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-bier-bass-belanglosikeit/full.webp,,,
canvas-large-chaos-im-komando-zentrum,Chaos im Komando zentrum,felix,generated_catalog,canvas_large,2023,,80,100,portrait,available,1600.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Chaos im Komando zentrum.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-chaos-im-komando-zentrum/full.webp,,https://flexartmarket.myshopify.com/collections/chaos-im-comando-center,
canvas-large-chaosin-comandozentrum,chaosin Comandozentrum,felix,generated_catalog,canvas_large,2023,,80,100,portrait,available,1600.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/chaosinComandozentrum.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-chaosin-comandozentrum/full.webp,,https://flexartmarket.myshopify.com/collections/chaos-im-comando-center,
canvas-large-experiment-sterotyp,Experiment sterotyp,felix,generated_catalog,canvas_large,2023,,160,100,landscape,available,1200.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Experiment sterotyp.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-experiment-sterotyp/full.webp,,,
canvas-large-expetition-zur-entspannung,expetition zur Entspannung,felix,generated_catalog,canvas_large,2023,,160,100,landscape,available,2400.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/expetition zur Entspannung.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-expetition-zur-entspannung/full.webp,,,
canvas-large-felix-iplfing-wegeundtueren,Felix Iplfing wegeundtüren,felix,generated_catalog,canvas_large,2022,,75,115,portrait,not_available,,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Felix Iplfing wegeundtüren75x115.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-felix-iplfing-wegeundtueren/full.webp,,,
canvas-large-freunde,freunde,felix,generated_catalog,canvas_large,2024,,160,100,landscape,available,1900.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/freunde.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-freunde/full.webp,,,
canvas-large-gangster,Gangster,felix,generated_catalog,canvas_large,2022,,100,70,landscape,available,700.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Gangster.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-gangster/full.webp,,,
canvas-large-m6-live-painting,M6 Live Painting,felix,generated_catalog,canvas_large,2023,,160,100,landscape,not_available,,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/M6 LivePainting .jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-m6-live-painting/full.webp,,,
canvas-large-u-bahn,u bahn,felix,generated_catalog,canvas_large,2022,,75,115,portrait,available,1450.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/u-bahn.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-u-bahn/full.webp,,,
canvas-large-ungleichgewicht,Ungleichgewicht,felix,generated_catalog,canvas_large,2022,,115,75,landscape,available,1670.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Ungleichgewicht115x75.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-ungleichgewicht/full.webp,,,
canvas-large-welches-spiel,welches Spiel,felix,generated_catalog,canvas_large,2022,,80,100,portrait,not_available,,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/welchesSpiel80x100.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-welches-spiel/full.webp,,,
canvas-large-zeit-rieselt,Zeit rieselt,felix,generated_catalog,canvas_large,2023,,160,100,landscape,available,3470.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Zeit rieselt .jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-zeit-rieselt/full.webp,,,
canvas-small-amrunden-tisch,amrunden Tisch,felix,generated_catalog,canvas_small,2023,,40,50,portrait,not_available,,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/amrundenTisch.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-amrunden-tisch/full.webp,,,
